Symbol,Name,High,Low,Close,Volume,URL
ESGA,BMO MSCI Canada ESG Leaders Index ETF,34.85,34.84,34.84,293,http://eoddata.com//stockquote/TSX/ESGA.htm
ESGB,BMO ESG Corporate Bond Index ETF,28.32,28.32,28.32,1356,http://eoddata.com//stockquote/TSX/ESGB.htm
ESGC,Invesco SP TSX Composite ESG Index ETF,25.23,25.23,25.23,107,http://eoddata.com//stockquote/TSX/ESGC.htm
ESGE,BMO MSCI EAFE ESG Leaders Index ETF,30.84,30.42,30.42,13810,http://eoddata.com//stockquote/TSX/ESGE.htm
ESGF,BMO ESG US Corp Bnd Hdgd To CAD Idx ETF,27.82,27.82,27.82,100,http://eoddata.com//stockquote/TSX/ESGF.htm
ESGG,BMO MSCI Global ESG Leaders Index ETF,35.25,35.25,35.25,150,http://eoddata.com//stockquote/TSX/ESGG.htm
ESGH.F,BMO ESG Hgh Yld US Corp Bond Idx ETF Hgd,27.82,27.82,27.82,100,http://eoddata.com//stockquote/TSX/ESGH.F.htm
ESGY,BMO MSCI USA ESG Leaders Index ETF,38.28,38.28,38.28,102,http://eoddata.com//stockquote/TSX/ESGY.htm
ESGY.F,BMO MSCI USA ESG Leaders Index ETF,33.89,33.89,33.89,100,http://eoddata.com//stockquote/TSX/ESGY.F.htm
ESI,Ensign Energy Services Inc,2.66,2.51,2.64,388516,http://eoddata.com//stockquote/TSX/ESI.htm
ESM,Euro Sun Mining Inc,0.23,0.2,0.205,264267,http://eoddata.com//stockquote/TSX/ESM.htm
ESN,Essential Energy Services Ltd,0.45,0.45,0.45,8090,http://eoddata.com//stockquote/TSX/ESN.htm
ET,Evertz Technologies Ltd,13.59,13.09,13.16,16183,http://eoddata.com//stockquote/TSX/ET.htm
ETC,Evolve Cryptocurrencies ETF,9.02,8.75,8.76,2293,http://eoddata.com//stockquote/TSX/ETC.htm
ETC.U,Evolve Cryptocurrencies ETF USD,9.0,8.88,8.88,1200,http://eoddata.com//stockquote/TSX/ETC.U.htm
ETG,Entree Resources Ltd,0.87,0.83,0.87,69800,http://eoddata.com//stockquote/TSX/ETG.htm
ETHH,Purpose Ether CAD ETF,12.06,11.49,11.55,215261,http://eoddata.com//stockquote/TSX/ETHH.htm
ETHH.B,Purpose Ether Non-Cur Hedg ETF,12.42,11.87,11.93,168656,http://eoddata.com//stockquote/TSX/ETHH.B.htm
ETHH.J,Purpose Ether Carbon Offset ETF,6.0,6.0,6.0,1800,http://eoddata.com//stockquote/TSX/ETHH.J.htm
ETHH.U,Purpose Ether ETF USD,12.22,11.67,11.73,76939,http://eoddata.com//stockquote/TSX/ETHH.U.htm
ETHI,Horizons Global Sustain Leaders Idx ETF,45.53,44.22,44.22,10749,http://eoddata.com//stockquote/TSX/ETHI.htm
ETHQ,3iQ Coinshares Ether ETF,14.12,13.5,13.55,22980,http://eoddata.com//stockquote/TSX/ETHQ.htm
ETHQ.U,3iQ Coinshares Ether ETF USD,11.08,10.59,10.68,19000,http://eoddata.com//stockquote/TSX/ETHQ.U.htm
